Strain,Filebase
NRRL_Y-2504,ISQ0044633_S124_R[12]_001.fastq.gz
TFCN_7W-292-3,7W-292-3_S107_L001_R[12]_001.fastq.gz
DBVPG_3768,DBVPG_3768_S20_L001_R[12]_001.fastq.gz
DBVPG_3770,DBVPG_3770_S21_L001_R[12]_001.fastq.gz
DBVPG_3853,DBVPG_3853_S30_L001_R[12]_001.fastq.gz
DBVPG_3771,DBVPG_3771_S22_L001_R[12]_001.fastq.gz
DBVPG_3773,DBVPG_3773_S23_L001_R[12]_001.fastq.gz
DBVPG_3769,ISQ0044637_S196_R[12]_001.fastq.gz
DBVPG_3772,ISQ0044639_S90_R[12]_001.fastq.gz
